2011-11-24 10:27:54 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 63]
2011-11-24 10:27:54 Notice: Notice (8): Undefined variable: Data in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 63]
2011-11-24 10:27:54 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 63]
2011-11-24 13:18:53 Notice: Notice (8): Use of undefined constant this - assumed 'this' in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 70]
2011-11-24 13:18:53 Notice: Notice (8): Use of undefined constant id - assumed 'id' in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 70]
2011-11-24 14:17:08 Notice: Notice (8): Undefined property: DivisasController::$Data in [/Users/Shared/Develop/www/www.idd/junior20cake/app/controllers/divisas_controller.php, line 31]
2011-11-24 19:54:38 Notice: Notice (8): Undefined variable: thisID in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/divisas/form.ctp, line 29]
2011-11-24 19:54:38 Notice: Notice (8): Undefined variable: thisID in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/divisas/form.ctp, line 31]
2011-11-24 19:54:38 Notice: Notice (8): Undefined variable: thisID in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/divisas/form.ctp, line 32]
2011-11-24 19:55:30 Notice: Notice (8): Undefined variable: thisID in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/divisas/form.ctp, line 32]
2011-11-24 20:05:02 Notice: Notice (8): Undefined property: ThemeView::$Action in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:05:02 Notice: Notice (8): Undefined property: ThemeView::$Action in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:05:16 Notice: Notice (8): Undefined property: ThemeView::$Controller in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:05:16 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:05:17 Notice: Notice (8): Undefined property: ThemeView::$Controller in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:05:17 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:05:35 Notice: Notice (8): Undefined property: ThemeView::$Divisa in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:05:35 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:05:35 Notice: Notice (8): Undefined property: ThemeView::$Divisa in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:05:35 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:05:51 Notice: Notice (8): Undefined property: ThemeView::$Divisas in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:05:51 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:05:51 Notice: Notice (8): Undefined property: ThemeView::$Divisas in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:05:51 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:07:08 Notice: Notice (8): Undefined variable: mode in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:07:09 Notice: Notice (8): Undefined variable: mode in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 22:21:01 Notice: Notice (8): Undefined property: ThemeView::$Name in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/estados/index.ctp, line 60]
2011-11-24 22:21:13 Notice: Notice (8): Undefined index: cve in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/paises/index.ctp, line 24]
2011-11-24 22:21:13 Notice: Notice (8): Undefined index: nom in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/paises/index.ctp, line 25]
2011-11-25 09:54:43 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/controllers/divisas_controller.php, line 35]
2011-11-25 09:55:01 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/controllers/divisas_controller.php, line 35]
2011-11-25 10:00:42 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/controllers/divisas_controller.php, line 35]
2011-11-25 10:01:37 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/controllers/divisas_controller.php, line 35]
2011-11-25 10:01:46 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/controllers/divisas_controller.php, line 35]
2011-11-25 10:02:17 Notice: Notice (8): Undefined index: Divisas in [/Users/Shared/Develop/www/www.idd/junior20cake/app/controllers/divisas_controller.php, line 35]
2011-11-25 10:02:17 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/controllers/divisas_controller.php, line 35]
2011-11-25 10:03:14 Notice: Notice (8): Undefined property: Divisa::$dicve in [/Users/Shared/Develop/www/www.idd/junior20cake/app/controllers/divisas_controller.php, line 35]
2011-11-25 10:04:42 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/controllers/divisas_controller.php, line 35]
2011-11-25 10:05:46 Notice: Notice (8): Undefined property: Divisa::$dicve in [/Users/Shared/Develop/www/www.idd/junior20cake/app/controllers/divisas_controller.php, line 35]
2011-11-25 13:17:20 Notice: Notice (8): Undefined property: JsHelper::$this in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 74]
2011-11-25 13:17:59 Notice: Notice (8): Undefined property: JsHelper::$this in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 74]
2011-11-25 13:55:39 Notice: Notice (8): Undefined variable: paiss in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/paises/index.ctp, line 31]
2011-11-25 14:00:18 Notice: Notice (8): Undefined index: Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/paises/index.ctp, line 31]
2011-11-25 14:00:18 Notice: Notice (8): Undefined index: Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/paises/index.ctp, line 37]
2011-11-25 14:00:18 Notice: Notice (8): Undefined index: Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/paises/index.ctp, line 38]
2011-11-25 14:03:27 Notice: Notice (8): Undefined index: Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/paises/index.ctp, line 31]
2011-11-25 14:03:27 Notice: Notice (8): Undefined index: Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/paises/index.ctp, line 37]
2011-11-25 14:03:27 Notice: Notice (8): Undefined index: Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/paises/index.ctp, line 38]
2011-11-25 14:04:28 Notice: Notice (8): Undefined index: Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/paises/index.ctp, line 31]
2011-11-25 14:04:28 Notice: Notice (8): Undefined index: Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/paises/index.ctp, line 37]
2011-11-25 14:04:28 Notice: Notice (8): Undefined index: Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/paises/index.ctp, line 38]
2011-11-25 14:04:29 Notice: Notice (8): Undefined index: Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/paises/index.ctp, line 31]
2011-11-25 14:04:29 Notice: Notice (8): Undefined index: Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/paises/index.ctp, line 37]
2011-11-25 14:04:29 Notice: Notice (8): Undefined index: Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/paises/index.ctp, line 38]
2011-11-25 14:10:11 Notice: Notice (8): Undefined property: PaisesController::$Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/controllers/paises_controller.php, line 31]
